latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-37.785587,144.93976,19.0,36000,Australia/Sydney,GMT+10

time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),sunshine_duration (s),rain_sum (mm),precipitation_sum (mm),snowfall_sum (cm),daylight_duration (s)
2015-01-01,18.1,24.3,11.6,17.9,23.3,11.2,45699.78,1.80,1.80,0.00,53023.75
2015-01-02,26.6,37.6,14.1,25.6,35.7,14.5,52414.70,0.00,0.00,0.00,52984.91
2015-01-03,30.6,37.7,24.1,27.8,34.4,21.8,43280.31,0.20,0.20,0.00,52942.12
2015-01-04,19.4,23.0,15.4,18.5,25.9,13.4,38644.68,9.80,9.80,0.00,52895.54
2015-01-05,18.1,23.3,13.5,17.4,24.3,12.7,52276.82,0.00,0.00,0.00,52845.25
2015-01-06,20.6,26.2,15.1,22.0,29.1,15.7,44022.13,0.00,0.00,0.00,52791.39
2015-01-07,27.4,36.8,16.3,28.4,37.1,17.8,51104.55,0.00,0.00,0.00,52734.05
2015-01-08,26.0,32.0,21.3,27.5,33.6,23.8,26589.52,1.70,1.70,0.00,52673.38
2015-01-09,17.1,19.7,15.1,16.5,21.3,13.4,73.39,4.40,4.40,0.00,52609.49
2015-01-10,17.3,20.4,14.7,16.2,19.0,13.4,12389.79,1.00,1.00,0.00,52542.48
2015-01-11,21.2,26.3,17.3,20.5,25.3,16.7,46825.01,0.00,0.00,0.00,52472.48
2015-01-12,22.6,30.2,15.8,23.7,31.2,16.9,51781.42,0.00,0.00,0.00,52399.60
2015-01-13,21.3,23.7,19.4,21.2,24.7,19.5,10244.62,29.30,29.30,0.00,52323.96
2015-01-14,19.8,22.8,17.2,18.6,21.2,15.3,33014.51,4.40,4.40,0.00,52245.69
2015-01-15,17.0,19.0,15.6,15.1,16.6,13.9,24616.47,0.40,0.40,0.00,52164.89
2015-01-16,19.2,25.7,11.6,17.8,24.0,10.7,47240.37,0.00,0.00,0.00,52081.67
2015-01-17,18.7,22.4,16.0,16.1,19.8,13.3,49550.28,0.00,0.00,0.00,51996.15
2015-01-18,16.0,18.0,14.2,13.1,15.3,11.3,41778.65,0.00,0.00,0.00,51908.45
2015-01-19,16.9,21.9,13.0,15.0,20.9,10.4,50514.07,0.00,0.00,0.00,51818.66
2015-01-20,21.3,28.2,11.5,20.1,28.2,10.9,31063.54,0.00,0.00,0.00,51726.91
2015-01-21,24.5,30.6,19.5,25.5,33.7,20.1,44749.41,0.00,0.00,0.00,51632.43
2015-01-22,24.0,33.7,17.0,25.2,34.0,18.6,47699.14,0.00,0.00,0.00,51534.73
2015-01-23,21.8,24.4,16.7,21.5,25.2,15.7,49819.53,0.00,0.00,0.00,51434.02
2015-01-24,19.9,26.3,14.2,20.8,29.4,14.4,49860.42,0.00,0.00,0.00,51330.44
2015-01-25,17.1,20.6,14.2,14.4,17.4,11.7,46893.52,0.00,0.00,0.00,51224.19
2015-01-26,15.3,18.7,11.1,12.5,15.3,9.6,45815.79,0.00,0.00,0.00,51115.42
2015-01-27,16.4,21.2,12.5,13.4,18.9,9.9,48109.57,0.00,0.00,0.00,51004.30
2015-01-28,18.0,24.0,13.3,15.3,21.4,11.5,48782.96,0.00,0.00,0.00,50891.01
2015-01-29,16.5,19.9,13.0,13.6,15.8,11.1,40112.45,0.00,0.00,0.00,50775.69
2015-01-30,16.3,19.9,12.8,13.9,16.8,11.3,48258.80,0.00,0.00,0.00,50658.50
2015-01-31,16.3,19.3,13.1,14.1,16.0,12.2,36411.36,0.30,0.30,0.00,50539.61
2015-02-01,16.2,18.7,14.5,14.0,16.6,12.3,24033.23,1.90,1.90,0.00,50419.16
2015-02-02,17.3,19.8,15.5,15.2,17.4,13.6,37695.73,0.50,0.50,0.00,50297.30
2015-02-03,16.9,20.6,14.4,15.3,21.0,12.1,47217.94,0.00,0.00,0.00,50174.18
2015-02-04,16.6,18.8,14.6,14.0,16.4,12.0,29839.09,0.00,0.00,0.00,50049.95
2015-02-05,18.9,25.4,12.3,18.5,26.3,11.8,46961.28,0.00,0.00,0.00,49924.73
2015-02-06,24.3,33.6,13.2,24.6,35.3,13.5,46988.05,0.00,0.00,0.00,49798.68
2015-02-07,26.8,33.1,21.0,25.7,31.8,19.5,42437.87,0.00,0.00,0.00,49671.93
2015-02-08,20.6,24.2,15.5,19.3,23.5,12.4,46800.00,0.00,0.00,0.00,49544.61
2015-02-09,19.8,27.3,13.9,18.8,28.2,11.9,46800.00,0.00,0.00,0.00,49416.84
2015-02-10,22.8,31.4,14.5,24.2,35.2,15.2,46800.00,0.00,0.00,0.00,49287.73
2015-02-11,23.3,34.5,16.6,24.1,37.0,17.7,46800.00,0.30,0.30,0.00,49156.66
2015-02-12,19.7,24.0,16.7,19.0,23.9,14.7,44114.37,0.00,0.00,0.00,49023.79
2015-02-13,23.0,32.7,15.6,24.1,32.6,16.4,36000.00,5.90,5.90,0.00,48889.28
2015-02-14,21.1,25.3,18.0,22.7,28.9,19.2,36000.00,19.50,19.50,0.00,48753.27
2015-02-15,23.9,31.8,17.4,25.2,34.0,18.3,43264.16,0.00,0.00,0.00,48615.90
2015-02-16,20.2,24.2,17.6,19.5,24.3,16.4,46800.00,0.00,0.00,0.00,48477.32
2015-02-17,18.2,20.7,16.5,17.2,20.1,15.3,29636.35,0.00,0.00,0.00,48337.66
2015-02-18,18.8,21.8,16.7,18.4,21.4,16.3,19951.82,0.10,0.10,0.00,48197.06
2015-02-19,21.2,27.2,16.8,22.8,29.4,17.5,44993.65,1.60,1.60,0.00,48055.66
2015-02-20,20.6,26.1,15.6,22.1,28.5,16.5,46800.00,0.00,0.00,0.00,47913.57
2015-02-21,25.5,34.2,16.1,26.2,34.8,17.5,46800.00,0.00,0.00,0.00,47770.95
2015-02-22,27.9,34.4,22.7,28.2,36.0,21.8,44683.43,0.00,0.00,0.00,47627.90
2015-02-23,22.6,29.1,16.6,21.9,30.2,13.4,38602.72,0.10,0.10,0.00,47484.55
2015-02-24,17.2,19.9,14.9,14.1,17.2,11.3,46615.96,0.00,0.00,0.00,47341.03
2015-02-25,19.5,25.4,14.4,20.0,26.3,14.9,42828.01,0.00,0.00,0.00,47197.45
2015-02-26,18.8,22.7,15.3,18.7,21.8,15.6,46490.75,0.30,0.30,0.00,47053.93
