series,label,model_type,feature_config,n_features,mse_demand,rmse_demand,mae_demand,mse_demand_test,rmse_demand_test,mae_demand_test,runtime_sec,error
baseline,seasonal_naive_7,baseline,cal=0 temp=0 apptemp=0 rrp=0 lags=[] roll=[],0,141138183.6274827,11880.159242513659,9762.271280820696,207834241.32481366,14416.45730839632,12113.128072003377,0.01192095800070092,
baseline,seasonal_naive_364,baseline,cal=0 temp=0 apptemp=0 rrp=0 lags=[] roll=[],0,60410778.91466296,7772.437128382768,6270.753833333328,224849543.5511672,14994.983946345765,11030.623232639775,0.008089041999483015,
A,A1_cal_lag,mlp,"cal=1 temp=0 apptemp=0 rrp=0 lags=[1, 7] roll=[]",10,19971783.925567023,4468.980188540449,3464.401302597417,57972019.144591145,7613.935851095092,5678.655501615857,9.456043582998973,
A,A2_cal_temp_lag,mlp,"cal=1 temp=1 apptemp=0 rrp=0 lags=[1, 7] roll=[]",20,10065437.517734569,3172.607368984471,2421.5921569890647,22220155.480616834,4713.825991762618,3664.6891870640306,6.32862125000247,
A,A3_+apparent_temp,mlp,"cal=1 temp=1 apptemp=1 rrp=0 lags=[1, 7] roll=[]",23,9487838.06434208,3080.233443156879,2396.3050821629163,19863511.916952435,4456.849999377636,3542.4101773979705,10.357466875000682,
A,A4_+rolling7,mlp,"cal=1 temp=1 apptemp=1 rrp=0 lags=[1, 7] roll=[7]",24,8879955.29711122,2979.9253844872055,2320.079796091271,18937353.75409846,4351.706993134816,3468.1180754548304,8.20541137499822,
A,A5_+RRP_full,mlp,"cal=1 temp=1 apptemp=1 rrp=1 lags=[1, 7] roll=[7]",25,10340669.179115564,3215.6910888820717,2500.8968081832204,27719174.383189887,5264.900225378434,4274.217462769563,6.478355750004994,
B,B1_numpy_ols,numpy_ols,"cal=1 temp=1 apptemp=1 rrp=0 lags=[1, 7] roll=[7]",24,41065609.77604744,6408.245452231636,5082.455382025131,53218668.682362676,7295.112657276972,5748.716249669845,0.004905833993689157,
B,B2_ridge,ridge,"cal=1 temp=1 apptemp=1 rrp=0 lags=[1, 7] roll=[7]",24,40971563.86261176,6400.903363011487,5073.096479334173,53183574.09777936,7292.706911550701,5748.865231524463,2.511371208995115,
B,B3_rf,rf,"cal=1 temp=1 apptemp=1 rrp=0 lags=[1, 7] roll=[7]",24,14373526.781638898,3791.2434347637054,2966.7351981476363,27593743.69098368,5252.974746844276,4172.98328528035,3.4356865829977323,
B,B4_mlp_champ,mlp,"cal=1 temp=1 apptemp=1 rrp=0 lags=[1, 7] roll=[7]",24,8879955.29711122,2979.9253844872055,2320.079796091271,18937353.75409846,4351.706993134816,3468.1180754548304,4.415491833999113,
B,B5_gbm,gbm,"cal=1 temp=1 apptemp=1 rrp=0 lags=[1, 7] roll=[7]",24,10564233.849169677,3250.266735080319,2453.2396369790877,19593190.395920474,4426.419591037487,3535.0211157823583,1.5965606660029152,
C,C1_lr0.001,mlp,"cal=1 temp=1 apptemp=1 rrp=0 lags=[1, 7] roll=[7]",24,182452109.26730782,13507.483454267409,10910.564872137089,228061678.87723207,15101.71112414855,11976.103141843272,4.565827791993797,
C,C2_lr0.005,mlp,"cal=1 temp=1 apptemp=1 rrp=0 lags=[1, 7] roll=[7]",24,10678433.595179295,3267.787262839993,2478.0461026031257,21940066.313360173,4684.022450134091,3700.1774741449226,4.3518079169953126,
C,C3_lr0.01,mlp,"cal=1 temp=1 apptemp=1 rrp=0 lags=[1, 7] roll=[7]",24,8879955.29711122,2979.9253844872055,2320.079796091271,18937353.75409846,4351.706993134816,3468.1180754548304,4.740209499999764,
C,C4_lr0.02,mlp,"cal=1 temp=1 apptemp=1 rrp=0 lags=[1, 7] roll=[7]",24,10306467.432041358,3210.3687377062092,2473.36443381858,20919800.45693475,4573.816836837123,3656.166810660568,3.2283325829994283,
C,C5_lr0.05,mlp,"cal=1 temp=1 apptemp=1 rrp=0 lags=[1, 7] roll=[7]",24,8712446.184511714,2951.6853125819007,2211.6838218970724,20170309.134277996,4491.136730748463,3576.4671664056036,3.1328712079994148,
